County,2000,2001,2002,2003,2004,sum
KY:_Edmonson_County,1,0,0,2,1,4
KY:_Elliott_County,0,0,0,1,1,2
KY:_Estill_County,2,0,2,1,0,5
KY:_Fayette_County,12,16,17,14,7,66
KY:_Fleming_County,1,0,0,1,1,3
KY:_Floyd_County,3,4,1,3,3,14
KY:_Franklin_County,2,2,4,5,1,14
KY:_Fulton_County,1,2,0,0,1,4
KY:_Gallatin_County,0,0,0,0,0,0
KY:_Garrard_County,1,1,0,3,3,8
KY:_Grant_County,0,2,2,1,2,7
KY:_Graves_County,1,0,2,0,2,5
KY:_Grayson_County,4,3,3,1,2,13
KY:_Green_County,1,0,1,0,0,2
KY:_Greenup_County,1,4,1,4,6,16
KY:_Hancock_County,1,1,0,0,0,2
KY:_Hardin_County,2,7,13,6,10,38
KY:_Harlan_County,4,2,2,3,2,13
KY:_Harrison_County,1,1,2,1,0,5
KY:_Hart_County,0,1,5,2,4,12
KY:_Henderson_County,3,0,2,8,4,17
KY:_Henry_County,0,3,0,1,0,4
KY:_Hickman_County,0,1,0,0,0,1
KY:_Hopkins_County,2,2,2,3,5,14
KY:_Jackson_County,2,2,2,1,0,7
KY:_Jefferson_County,56,46,41,49,44,236
KY:_Jessamine_County,3,3,1,5,4,16
KY:_Johnson_County,3,2,1,0,0,6
KY:_Kenton_County,10,4,6,9,15,44
KY:_Knott_County,0,0,1,1,4,6
KY:_Knox_County,2,1,2,4,0,9
KY:_Larue_County,1,2,1,1,0,5
KY:_Laurel_County,3,7,1,2,3,16
KY:_Lawrence_County,2,3,0,0,2,7
KY:_Lee_County,1,1,0,0,0,2
KY:_Leslie_County,0,0,0,0,1,1
KY:_Letcher_County,1,4,5,1,2,13
KY:_Lewis_County,2,1,0,0,2,5
KY:_Lincoln_County,2,1,1,1,1,6
KY:_Livingston_County,0,0,2,0,1,3
KY:_Logan_County,5,4,2,2,2,15
KY:_Lyon_County,1,1,0,1,2,5
KY:_McCracken_County,5,5,3,5,3,21
KY:_McCreary_County,2,0,0,1,1,4
KY:_McLean_County,0,0,0,1,1,2
KY:_Madison_County,3,3,5,3,3,17
KY:_Magoffin_County,2,0,1,2,1,6
KY:_Marion_County,1,2,2,0,1,6
KY:_Marshall_County,1,1,1,1,1,5
KY:_Martin_County,1,0,1,0,0,2
KY:_Mason_County,2,3,0,4,1,10
KY:_Meade_County,0,2,3,1,0,6
KY:_Menifee_County,1,1,0,0,1,3
KY:_Mercer_County,3,0,1,3,3,10
KY:_Metcalfe_County,0,0,3,0,0,3
KY:_Monroe_County,0,1,2,0,0,3
KY:_Montgomery_County,2,1,0,0,1,4
KY:_Morgan_County,2,0,0,1,1,4
KY:_Muhlenberg_County,1,4,3,4,2,14
KY:_Nelson_County,6,1,3,5,3,18
KY:_Nicholas_County,0,1,1,0,1,3
KY:_Ohio_County,2,2,2,0,3,9
KY:_Oldham_County,5,1,5,3,4,18
KY:_Owen_County,1,1,0,0,1,3
KY:_Owsley_County,0,0,0,0,0,0
KY:_Pendleton_County,1,0,3,1,0,5
KY:_Perry_County,0,0,4,2,3,9
KY:_Pike_County,1,3,3,2,9,18
KY:_Powell_County,0,0,0,1,1,2
KY:_Pulaski_County,7,3,3,5,3,21
KY:_Robertson_County,0,0,0,0,0,0
KY:_Rockcastle_County,0,0,2,0,1,3
KY:_Rowan_County,0,0,0,1,1,2
KY:_Russell_County,0,1,0,0,0,1
KY:_Scott_County,2,2,1,3,0,8
KY:_Shelby_County,1,0,1,5,2,9
KY:_Simpson_County,1,0,0,3,0,4
KY:_Spencer_County,0,0,1,1,2,4
KY:_Taylor_County,2,2,2,1,3,10
KY:_Todd_County,1,0,0,0,2,3
KY:_Trigg_County,2,1,2,0,0,5
KY:_Trimble_County,1,1,1,0,2,5
KY:_Union_County,0,0,0,0,2,2
KY:_Warren_County,3,6,1,13,7,30
KY:_Washington_County,0,1,1,0,2,4
KY:_Wayne_County,2,2,1,2,1,8
